Date,cityAccidente,countryAccidente,Operator,cityOrigen,cityDestino,Type,Aboard,Fatalities,Ground,latAccidente,lonAccidente,latDestino,lonDestino,latOrigen,lonOrigen
8/21/1995, Carrollton, GA,AtlantiSoutheast Airlines,Gwalior,St. Petersburg,Embraer 120-RT Brasilia,29,10,0,33.5801103,-85.0766113,27.7703796,-82.6695085,26.2,78.2
6/17/1995, Cuvela, Angola,Military - Angolan Air Force,Wadi Halfa,Chitose,CASA 212-200 Aviocar,48,48,0,45.8194258,15.7952735,42.799038,141.509517,21.8004996,31.3507374
3/12/1995, Douala, Cameroon,Cameroon Airlines,Irkutsk,Kabul,Boeing B-737-2K9,78,72,0,4.05372875,9.664306826,34.5197058,69.1624302,52.2895979,104.2805843
1/9/1995, Farewell, Alaska,North Star Air Cargo,Chania,Medford,Shorts SC-7 Skyvan,1,1,0,36.5011734,-91.3615249,42.3264181,-122.8718605,35.5141834,24.0181459
11/25/1994, Cuito, Angola,Military - Angolan Air Force,Guam,Cairo,Mil Mi-17 (helicopter),22,22,0,-12.422355,15.7581213,30.0488185,31.2436663,13.4459805,144.7391922
10/26/1994, Cuito, Angola,Military - Angolan Air Force,Caracas,Johannesburg,Mil Mi-8MTV (helicopter),22,22,0,-12.422355,15.7581213,-26.205,28.0497222,10.506098,-66.9146017
9/13/1994, Abuja, Nigeria,Aerocontroctors - Charter,Aden,Moscow,de Havilland Canada DHC-6 Twin Otter 300,5,3,0,9.0643305,7.4892974,55.7516335,37.6187042,12.8331607,44.9166065
8/9/1994, Aliquippa, Pennsylvania,USAir,Maintirano,Foggia,Boeing B-737-3B7,132,132,0,40.6102386,-80.267726,41.4626384,15.5460328,-18.0603619,44.0259057
7/17/1994, Fort de France, Martinique,Air Martinique,Islamabad,Fort de France,Britten-Norman BN-2B-26 Islander,6,6,0,14.6037193,-61.0767677,14.6037193,-61.0767677,33.6945756,73.0643744
5/8/1994, Boda, Russia,Military - Russian Air Force,Caracas,New York City,Antonov AN-12,47,47,0,5.13993095,-8.340269531,40.7305991,-73.9865812,10.506098,-66.9146017
3/23/1994, Bogota, Colombia,Orion - Air Taxi,Llandow,Oran,Cessna 650 Citation VI,4,4,0,4.5980478,-74.0760867,35.7032751,-0.6492976,51.449005,-3.5222606
3/23/1994, Fayetteville, North Carolina,Military - U.S. Air Force / Military U.S. Air Force,Sightseeing,Phuket,GD F-16D / Lockheed C-130E,7,0,23,36.111508,-94.20986672,7.715984,98.32212637,43.3513484,19.9729208
2/6/1994, Campbeltown, Scotland,Military - Royal Air Force,Guayaquil,Lima,Boeing Vertol Chinook HC-2 (helicopter),29,29,0,55.4282582,-5.6029617,-12,-76.833333,-2.2124357,-79.895812
1/11/1994, Cozumel, Mexico,Transportes Aereos Pegaso,Amsterdam,Guantanamo,Bell 212,14,14,0,20.4488829,-86.9121241,20.1449533,-75.2072519,52.374436,4.897995603
9/12/1993, Dakar, Senegal,Air Senegal / Gambia Airways,Pleiku,Kannung,DHC-6 Twin Otter 300 / NAMC YS-11,3,3,0,14.6930042,-17.447026,-32.8004427,151.4828797,13.9862612,108.0027018
